movieId,title,genres
1,Toy Story (1995) Adventure Animation Children Comedy Fantasy,Animation
2,Jumanji (1995) Adventure Children Fantasy,Adventure
3,Grumpier Old Men (1995) Comedy Romance,Romance
4,Waiting to Exhale (1995) Comedy Drama Romance,Romance
5,Father of the Bride Part II (1995) Comedy,Comedy
6,Heat (1995) Action Crime Thriller,Thriller
7,Sabrina (1995) Comedy Romance,Romance
8,Tom and Huck (1995) Adventure Children,Adventure
9,Sudden Death (1995) Action,Action
10,GoldenEye (1995) Action Adventure Thriller,Thriller
11,"American President, The (1995) Comedy Drama Romance",Romance
12,Dracula: Dead and Loving It (1995) Comedy Horror,Comedy
13,Balto (1995) Adventure Animation Children,Animation
14,Nixon (1995) Drama,Drama
15,Cutthroat Island (1995) Action Adventure Romance,Romance
16,Casino (1995) Crime Drama,Crime
17,Sense and Sensibility (1995) Drama Romance,Romance
18,Four Rooms (1995) Comedy,Comedy
19,Ace Ventura: When Nature Calls (1995) Comedy,Comedy
20,Money Train (1995) Action Comedy Crime Drama Thriller,Thriller
21,Get Shorty (1995) Comedy Crime Thriller,Thriller
22,Copycat (1995) Crime Drama Horror Mystery Thriller,Thriller
23,Assassins (1995) Action Crime Thriller,Thriller
24,Powder (1995) Drama Sci-Fi,Drama
25,Leaving Las Vegas (1995) Drama Romance,Romance
26,Othello (1995) Drama,Drama
27,Now and Then (1995) Children Drama,Children
28,Persuasion (1995) Drama Romance,Drama
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995) Adventure Drama Fantasy Mystery Sci-Fi",Adventure
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) Crime Drama,Crime
31,Dangerous Minds (1995) Drama,Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995) Mystery Sci-Fi Thriller,Mystery
33,Wings of Courage (1995) Adventure Romance IMAX,Adventure
34,Babe (1995) Children Drama,Children
35,Carrington (1995) Drama Romance,Romance
36,Dead Man Walking (1995) Crime Drama,Crime
37,Across the Sea of Time (1995) Documentary IMAX,Documentary
38,It Takes Two (1995) Children Comedy,Children
39,Clueless (1995) Comedy Romance,Comedy
40,"Cry, the Beloved Country (1995) Drama",Drama
41,Richard III (1995) Drama War,Drama
42,Dead Presidents (1995) Action Crime Drama,Action
43,Restoration (1995) Drama,Drama
44,Mortal Kombat (1995) Action Adventure Fantasy,Action
45,To Die For (1995) Comedy Drama Thriller,Thriller
46,How to Make an American Quilt (1995) Drama Romance,Romance
47,Seven (a.k.a. Se7en) (1995) Mystery Thriller,Mystery
48,Pocahontas (1995) Animation Children Drama Musical Romance,Animation
49,When Night Is Falling (1995) Drama Romance,Drama
50,"Usual Suspects, The (1995) Crime Mystery Thriller",Mystery
51,Guardian Angel (1994) Action Drama Thriller,Action
52,Mighty Aphrodite (1995) Comedy Drama Romance,Romance
53,Lamerica (1994) Adventure Drama,Adventure
